cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family
RL-s17-b50-a1.00,0.6,108.23774999999588,0.05042420627122263,0.5414999999999996,0.63,7.0,4.0,7.0,17.0,0.9206105127951801,119.0,33027,RL
RL-s16-b225-a1.00,0.6,113.73524999999563,0.046858853844085425,0.5172499999999997,0.61,7.0,3.0,7.0,17.0,0.9269526133276844,123.0,34736,RL
RL-s15-b175-a1.00,0.5925,111.40449999999575,0.046201621133760244,0.31574999999999986,0.61,4.0,2.0,4.0,13.0,0.9517922914046342,16.0,33980,RL
RL-s8-b175-a1.00,0.5925,109.06399999999587,0.0656489495856236,0.7589999999999991,0.64,4.0,2.0,4.0,17.0,0.951268210199671,16.0,34262,RL
RL-s8-b150-a1.00,0.5900000000000001,105.33874999999611,0.09050012408571778,1.2347499999999987,0.665,5.0,3.0,5.0,17.0,0.9418701149777039,32.0,31680,RL
RL-s11-b25-a1.00,0.5825,110.90424999999578,0.06496522666789926,0.7374999999999993,0.66,10.0,5.0,10.0,17.0,0.883347018858108,473.0,34058,RL
RL-s15-b25-a1.00,0.5775,102.55874999999625,0.0998646251888528,1.0602499999999992,0.66,7.0,4.0,7.0,17.0,0.9163205734306457,121.0,31383,RL
RL-s12-b25-a1.00,0.5775,111.53324999999575,0.05328793145057963,0.6009999999999995,0.615,4.0,1.0,4.0,17.0,0.9530646480959752,16.0,32805,RL
RL-s17-b175-a1.00,0.575,112.52349999999572,0.04348681947998023,0.41074999999999984,0.595,5.0,3.0,5.0,17.0,0.9271454066446483,32.0,34426,RL
RL-s16-b250-a1.00,0.5725,110.06974999999579,0.053277287153691566,0.3399999999999999,0.605,8.0,4.0,8.0,17.0,0.9139898859871671,213.0,32916,RL
RL-s10-b150-a1.00,0.5725,111.16399999999578,0.03952161872227891,0.5337499999999998,0.545,7.0,4.0,7.0,17.0,0.9085061652704812,125.0,33107,RL
RL-s10-b50-a1.00,0.565,115.15299999999554,0.036817826443672874,0.2592499999999999,0.585,7.0,4.0,7.0,17.0,0.9169864050070093,123.0,34558,RL
RL-s15-b250-a1.00,0.5625,110.56774999999581,0.04474021300942645,0.3377499999999998,0.56,5.0,2.0,5.0,17.0,0.9461673357908396,32.0,32576,RL
RL-s19-b75-a1.00,0.5575,107.31224999999597,0.04609288114793622,0.4034999999999998,0.605,4.0,2.0,4.0,17.0,0.96153325142071,16.0,31359,RL
RL-s11-b225-a1.00,0.5575,115.0139999999956,0.029241476724281033,0.25949999999999995,0.515,5.0,2.0,5.0,17.0,0.9396854085449242,32.0,33598,RL
RL-s14-b50-a1.00,0.555,118.84749999999539,0.050116376194426784,0.28124999999999994,0.55,6.0,3.0,6.0,17.0,0.9307659043963414,63.0,36060,RL
RL-s10-b125-a1.00,0.5549999999999999,96.18524999999666,0.1868478868232838,1.2397499999999988,0.7,17.0,7.0,17.0,17.0,0.8379122574141558,4635.0,28980,RL
RL-s18-b75-a1.00,0.55,114.86224999999558,0.04220813945594168,0.4157499999999997,0.565,8.0,2.0,8.0,17.0,0.9341686865427687,197.0,35219,RL
RL-s13-b50-a1.00,0.55,115.09974999999557,0.035734226851255144,0.23824999999999996,0.55,5.0,3.0,5.0,17.0,0.9468565305275206,32.0,34394,RL
RL-s15-b200-a1.00,0.545,113.71674999999564,0.034646132539683815,0.2809999999999999,0.54,4.0,2.0,4.0,17.0,0.9563603366636015,16.0,34475,RL
RL-s17-b25-a1.00,0.5,108.2889999999959,0.04637492724291287,0.3372499999999999,0.51,6.0,3.0,6.0,17.0,0.9302469437434283,64.0,33033,RL
