cond,opponent,wins,losses,pure_winrate,p_raw,p_holm,significant
RL-s18-b25-a1.00,BT-v3,25,43,0.36764705882352944,0.038460053348927506,1.0,False
RL-s18-b250-a1.00,BT-v2,59,18,0.7662337662337663,3.0550570254445797e-06,0.0005774057778090255,True
RL-s18-b250-a1.00,BT-v3,62,14,0.8157894736842105,2.3236524454068507e-08,5.490835764247749e-06,True
RL-s18-b275-a1.00,BT-v2,28,38,0.42424242424242425,0.2678116648465871,1.0,False
RL-s18-b275-a1.00,BT-v3,29,33,0.46774193548387094,0.7035366713552733,1.0,False
RL-s18-b300-a1.00,BT-v2,50,22,0.6944444444444444,0.0012935849626762883,0.13642850207316623,False
RL-s18-b300-a1.00,BT-v3,45,23,0.6617647058823529,0.01033766119369546,0.785662250720855,False
RL-s18-b50-a1.00,BT-v2,20,32,0.38461538461538464,0.12634707581392135,1.0,False
RL-s18-b50-a1.00,BT-v3,80,14,0.851063829787234,2.120124047968334e-12,5.766737410473869e-10,True
RL-s18-b75-a1.00,BT-v2,37,30,0.5522388059701493,0.46381761789686937,1.0,False
RL-s18-b75-a1.00,BT-v3,38,25,0.6031746031746031,0.12991792302255253,1.0,False
RL-s19-b100-a1.00,BT-v2,14,53,0.208955223880597,1.7728678775519788e-06,0.0003439363682450839,True
RL-s19-b100-a1.00,BT-v3,46,23,0.6666666666666666,0.007620521855025698,0.5944007046920045,False
RL-s19-b125-a1.00,BT-v2,44,16,0.7333333333333333,0.00039404324272610154,0.04886136209803659,True
RL-s19-b125-a1.00,BT-v3,41,16,0.7192982456140351,0.001263559472435463,0.13642850207316623,False
RL-s19-b150-a1.00,BT-v2,45,19,0.703125,0.0015627893448280279,0.1578110268847375,False
RL-s19-b150-a1.00,BT-v3,42,19,0.6885245901639344,0.004444019471066869,0.373297635569617,False
RL-s19-b175-a1.00,BT-v2,54,18,0.75,2.568720337924735e-05,0.004238388557575813,True
RL-s19-b175-a1.00,BT-v3,55,18,0.7534246575342466,1.6913617102985627e-05,0.0029767966101254704,True
RL-s19-b200-a1.00,BT-v2,51,26,0.6623376623376623,0.005870707889737201,0.47552733906871325,False
RL-s19-b200-a1.00,BT-v3,50,24,0.6756756756756757,0.00337223333414807,0.29338430007088206,False
RL-s19-b225-a1.00,BT-v2,52,24,0.6842105263157895,0.001761872002940625,0.16913971228230001,False
RL-s19-b225-a1.00,BT-v3,55,22,0.7142857142857143,0.00021680385841747662,0.02818450159427196,True
RL-s19-b25-a1.00,BT-v2,34,37,0.4788732394366197,0.8125886494061619,1.0,False
RL-s19-b25-a1.00,BT-v3,87,9,0.90625,3.640258907444359e-17,1.0338335297141979e-14,True
RL-s19-b250-a1.00,BT-v2,67,12,0.8481012658227848,2.048841172810755e-10,5.2655218141236405e-08,True
RL-s19-b250-a1.00,BT-v3,65,18,0.7831325301204819,2.1054542433593656e-07,4.526726623222636e-05,True
RL-s19-b275-a1.00,BT-v2,68,15,0.8192771084337349,3.1961254620309685e-09,7.958352400457112e-07,True
RL-s19-b275-a1.00,BT-v3,71,15,0.8255813953488372,7.076057190944836e-10,1.8043945836909332e-07,True
RL-s19-b300-a1.00,BT-v2,59,21,0.7375,2.5291102564670602e-05,0.00419832302573532,True
RL-s19-b300-a1.00,BT-v3,73,10,0.8795180722891566,5.800664942039543e-13,1.5893821941188348e-10,True
RL-s19-b50-a1.00,BT-v2,24,47,0.3380281690140845,0.008554538502693429,0.658699464707394,False
RL-s19-b50-a1.00,BT-v3,26,43,0.37681159420289856,0.05328936381651365,1.0,False
RL-s19-b75-a1.00,BT-v2,30,28,0.5172413793103449,0.8956832138895906,1.0,False
RL-s19-b75-a1.00,BT-v3,43,22,0.6615384615384615,0.012502546136489844,0.8876807756907789,False
RL-s8-b100-a1.00,BT-v2,41,16,0.7192982456140351,0.001263559472435463,0.13642850207316623,False
RL-s8-b100-a1.00,BT-v3,41,19,0.6833333333333333,0.0062176026593266705,0.491190610086807,False
RL-s8-b125-a1.00,BT-v2,47,14,0.7704918032786885,2.7191876822818543e-05,0.004432275922119423,True
RL-s8-b125-a1.00,BT-v3,51,18,0.7391304347826086,8.768662462846019e-05,0.012889933820383647,True
RL-s8-b150-a1.00,BT-v2,35,32,0.5223880597014925,0.8071946913670247,1.0,False
RL-s8-b150-a1.00,BT-v3,62,29,0.6813186813186813,0.0007053414522927503,0.08252494991825178,False
RL-s8-b175-a1.00,BT-v2,25,16,0.6097560975609756,0.21102359760880063,1.0,False
RL-s8-b175-a1.00,BT-v3,44,16,0.7333333333333333,0.00039404324272610154,0.04886136209803659,True
RL-s8-b200-a1.00,BT-v2,32,16,0.6666666666666666,0.029304946720529308,1.0,False
RL-s8-b200-a1.00,BT-v3,48,14,0.7741935483870968,1.7428522601631996e-05,0.0030499914552855993,True
RL-s8-b225-a1.00,BT-v2,37,13,0.74,0.000936222910851825,0.10204829728284892,False
RL-s8-b225-a1.00,BT-v3,42,17,0.711864406779661,0.0015471669302425245,0.1578110268847375,False
RL-s8-b25-a1.00,BT-v2,26,35,0.4262295081967213,0.30567741986311836,1.0,False
