cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family,train_seed,budget,alpha,bt_version,d_star_common,d_star_090_common,d_star_099_common,f4_common,coverage_entropy,coverage_std
HYB-s8-b300-a0.25,0.5975,106.05974999999596,0.0583780601987244,0.8678749999999988,0.66,17.0,4.0,17.0,17.0,0.9053024562118592,3074.0,34021,Hybrid,8,300,0.25,-1,7.0,4.0,17.0,0.926673456284776,0.6684070130456353,0.2170728094815969
HYB-s6-b100-a0.50,0.5975,106.50649999999597,0.0542722328223318,0.5239999999999996,0.645,6.0,3.0,6.0,17.0,0.9364328187150734,64.0,33500,Hybrid,6,100,0.5,-1,17.0,5.0,17.0,0.8927684193243551,0.6618680818419753,0.2201614494122181
SHD-s9-b300,0.5974999999999999,107.2308749999959,0.0095127774219004,0.4434999999999997,0.6325,6.0,3.0,6.0,17.0,0.9231121426892334,63.0,31792,Shield,9,300,1.0,-1,17.0,7.0,17.0,0.8342536952091234,0.6685781239875166,0.2256949875630721
HYB-s6-b100-a0.25,0.5974999999999999,103.6562499999961,0.0619832676341148,0.8979999999999988,0.6675,6.0,3.0,6.0,17.0,0.9268633345163688,63.0,32394,Hybrid,6,100,0.25,-1,5.0,4.0,17.0,0.939489928734772,0.6713969334683859,0.2238964529427888
RL-s18-b300-a1.00,0.5974999999999999,114.1907499999956,0.0395657926544382,0.4501249999999999,0.605,9.0,3.0,9.0,17.0,0.932946122094987,358.0,34247,RL,18,300,1.0,-1,17.0,17.0,17.0,0.6920562305695833,0.6801234727933181,0.2528826769799988
HYB-s17-b300-a0.50,0.59625,102.63762499999616,0.0702034578392014,0.4972499999999996,0.6425,17.0,4.0,17.0,17.0,0.9153449286637968,3324.0,32156,Hybrid,17,300,0.5,-1,17.0,6.0,17.0,0.8855075766931755,0.6694089566048393,0.2235480039180737
HYB-s8-b100-a0.50,0.59625,103.16587499999608,0.0615388493019412,0.6214999999999995,0.6425,14.0,3.0,14.0,17.0,0.9185146545729492,2128.0,30728,Hybrid,8,100,0.5,-1,17.0,4.0,17.0,0.9045212760604364,0.6504878189505643,0.2180784967284873
HYB-s19-b100-a0.25,0.595,98.8709999999964,0.1068196123463344,1.270999999999998,0.7675,6.0,3.0,6.0,17.0,0.9191250659131855,60.0,30002,Hybrid,19,100,0.25,-1,5.0,2.0,17.0,0.9415256596349022,0.7054124623758419,0.257045019605655
HYB-s13-b200-a0.25,0.59375,105.10287499999605,0.0530455652057419,0.7443749999999992,0.6375,7.0,3.0,7.0,17.0,0.9376037009682616,114.0,32728,Hybrid,13,200,0.25,-1,5.0,3.0,17.0,0.9333957910612898,0.6715423601279342,0.2234943930651853
BTO-s0-b300,0.59375,104.67299999999608,0.0548414240728142,1.637249999999998,0.8725,5.0,3.0,5.0,17.0,0.9464720178901376,30.0,31096,BTO,0,300,0.0,-1,5.0,2.0,17.0,0.9398672995632776,0.7114902607698641,0.2476446632526708
