cond,d1,d2,f1,f2,s_even,s_odd
HYB-s15-b200-a0.75,17.0,8.0,0.9156464779842407,0.9297970839525413,0.56,0.5875
HYB-s5-b200-a0.25,17.0,17.0,0.9253451739469554,0.8857271804564764,0.5775,0.57
HYB-s3-b300-a0.50,17.0,17.0,0.8678807791140416,0.8920002475405631,0.5725,0.57
HYB-s10-b200-a0.25,17.0,17.0,0.8989601778860002,0.8962890447921579,0.565,0.565
HYB-s11-b100-a0.50,17.0,17.0,0.9206815519212852,0.8918751178187487,0.54,0.5875
HYB-s11-b200-a0.50,17.0,17.0,0.8924066107026222,0.8925554219254486,0.555,0.5625
SHD-s15-b300,8.0,17.0,0.921456581643384,0.8887075385055601,0.555,0.56
HYB-s19-b200-a0.50,17.0,17.0,0.8900174646417692,0.9022564536793078,0.565,0.55
HYB-s7-b100-a0.25,17.0,17.0,0.906433188107183,0.919658024623306,0.5825,0.5325
RL-s3-b100-a1.00,4.0,6.0,0.9634784435580062,0.9433721088514269,0.5525,0.5425
SHD-s13-b300,17.0,17.0,0.8858596892884344,0.888086273617997,0.525,0.565
HYB-s3-b100-a0.50,17.0,17.0,0.9167146324605119,0.9240548726800334,0.555,0.535
HYB-s18-b200-a0.25,17.0,17.0,0.9282238744759358,0.8982161948130815,0.5525,0.535
SHD-s8-b300,17.0,17.0,0.9022226276157614,0.881208007137721,0.55,0.535
SHD-s10-b300,17.0,17.0,0.8615841997208027,0.8198795008814791,0.535,0.5475
HYB-s11-b200-a0.25,17.0,17.0,0.9354008320812244,0.90844368614634,0.5275,0.555
HYB-s19-b200-a0.25,17.0,17.0,0.9091193732602345,0.9126243641076247,0.54,0.54
RL-s7-b200-a1.00,17.0,17.0,0.9063868657628108,0.9077007243648171,0.5175,0.5575
SHD-s17-b300,17.0,17.0,0.9156075418416683,0.8991109574232312,0.5375,0.535
RL-s15-b200-a1.00,4.0,4.0,0.9535344323745173,0.958613626643771,0.5225,0.545
HYB-s3-b200-a0.25,17.0,17.0,0.9217148592208037,0.9043146592514522,0.5475,0.52
HYB-s3-b200-a0.50,17.0,17.0,0.8886844453948168,0.8824358863985168,0.5325,0.5275
HYB-s18-b300-a0.25,17.0,17.0,0.9314802513649768,0.9241161607266651,0.5225,0.53
HYB-s7-b100-a0.50,17.0,17.0,0.8905032281192473,0.8877954062194283,0.505,0.4925
RL-s19-b100-a1.00,17.0,17.0,0.9241013472911815,0.7597007680758384,0.51,0.4825
HYB-s7-b100-a0.75,17.0,17.0,0.8814997765077633,0.8850039188474896,0.4825,0.4975
SHD-s1-b300,17.0,17.0,0.8875938872813082,0.8473181961493623,0.4875,0.4575
SHD-s16-b300,17.0,17.0,0.8620310491957647,0.8997481895253024,0.47,0.475
SHD-s12-b300,17.0,17.0,0.8782531428677394,0.8645804501588172,0.4875,0.455
RL-s7-b100-a1.00,17.0,17.0,0.8925612652112949,0.8652348776541643,0.4475,0.45
SHD-s18-b300,17.0,17.0,0.9083901282213587,0.8977716886791289,0.41,0.4675
PPO-s0-b1000000,5.0,5.0,0.9377405037435607,0.9427338579924861,0.3975,0.4
PPO-s1-b1500000,4.0,4.0,0.9733896573907825,0.9724530947128264,0.395,0.39
PPO-s1-b1000000,8.0,7.0,0.8484633440059943,0.8639488101987988,0.385,0.3825
PPO-s1-b500000,7.0,7.0,0.9074923766723981,0.9076215110107534,0.3825,0.3775
PPO-s0-b1500000,5.0,4.0,0.9328982944702755,0.9517226237383472,0.375,0.385
PPO-s0-b500000,4.0,5.0,0.9516824913817215,0.9487892996472842,0.395,0.355
SHD-s14-b300,17.0,17.0,0.8772440554475466,0.9033291792367552,0.315,0.365
BT-v3,5.0,5.0,0.9456361923461366,0.9382229632910438,0.3275,0.33
BT-v1,1.0,1.0,0.9911346570251255,0.9925860402220982,0.26,0.2225
