cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family
HYB-s3-b100-a0.75,0.5862499999999999,112.6862499999957,0.04248031086058701,0.6377499999999994,0.615,17.0,3.0,17.0,17.0,0.9144259229124557,4145.0,33241,Hybrid
HYB-s3-b200-a0.75,0.58125,114.63749999999555,0.03649859982093341,0.2854999999999999,0.615,17.0,4.0,17.0,17.0,0.901499695902172,5147.0,34335,Hybrid
HYB-s5-b300-a0.25,0.58125,103.66462499999608,0.06429235857652194,0.7591249999999992,0.65,17.0,4.0,17.0,17.0,0.9061543930647139,3280.0,31528,Hybrid
HYB-s3-b100-a0.25,0.575,104.06074999999606,0.06737151083634338,0.6821249999999992,0.6425,17.0,5.0,17.0,17.0,0.8872240328305081,3154.0,31174,Hybrid
HYB-s5-b200-a0.50,0.57375,108.39899999999588,0.05304214360402111,0.5339999999999995,0.6075,17.0,4.0,17.0,17.0,0.920787979195001,2703.0,33285,Hybrid
HYB-s5-b200-a0.25,0.57375,101.91937499999618,0.07040656642161223,0.885124999999999,0.645,17.0,3.0,17.0,17.0,0.9227619781287983,2524.0,30322,Hybrid
HYB-s3-b300-a0.50,0.57125,105.764374999996,0.059910818381879866,0.7237499999999991,0.6425,17.0,4.0,17.0,17.0,0.9020781886196414,2696.0,30774,Hybrid
HYB-s7-b100-a0.25,0.5575,106.42024999999593,0.0658493325474064,0.8948749999999989,0.6425,17.0,4.0,17.0,17.0,0.9106209467333042,3247.0,33387,Hybrid
RL-s3-b100-a1.00,0.5475,113.45524999999566,0.03960863607905726,0.4264999999999996,0.5925,5.0,2.0,5.0,17.0,0.9467131246925043,32.0,34086,RL
HYB-s3-b100-a0.50,0.545,107.77962499999589,0.05164790191177599,0.5173749999999994,0.6025,17.0,3.0,17.0,17.0,0.9235997990903757,3769.0,32085,Hybrid
RL-s7-b200-a1.00,0.5375,110.81499999999582,0.08454097953642081,0.892499999999999,0.61,9.0,4.0,9.0,17.0,0.9106125121352765,343.0,33635,RL
HYB-s3-b200-a0.25,0.53375,105.12887499999604,0.05382491248819593,0.6763749999999991,0.59,17.0,3.0,17.0,17.0,0.925234792953301,2805.0,31882,Hybrid
